UNITID,OPEID,OPEID6,INSTNM,CITY,STABBR,PrivPub,UGDStudents,CostBeforeAid,6yrGradRate,Retention,MDEarnings8yr,InstructionWagesPerStudent,AcadmicSupportWagesPerStudent,ServicesAuxWagesPerStudent,PCTFacWhite,PCTFacNotWhite,PCTFacTwoMoreRace/Ethnic,PCTFacRace/EthnicUnk,PCTFacNRA,PCTFacMale,PCTFacFemale,InstrPerStu,PCTFTStaff,PCTFTTenured,PCTFTTenureTrk,PCTFTNotTenure,PCTProf,PCTAssoProf,PCTAssisProf,PCTInstructors,PCTLecturers,PCTNoRank
197869,290600,2906,Appalachian State University,Boone,NC,1,17990,19661,0.7269,0.8647,43092,5178.762873,1270.378215,2176.152874,0.880884451,0.064907275,0.013552068,0.014265335,0.02639087,0.47574893,0.52425107,0.078043357,0.739657632,0.39031339,0.148860399,0.199430199,0.236259814,0.162027123,0.160599572,0.009279086,0.157030692,0.014989293
197911,290800,2908,Barton College,Wilson,NC,2,1041,46539,0.5189,0.7044,37918,4922.390824,482.4129142,3388.441801,0.752293578,0.137614679,0.009174312,0.073394495,0.027522936,0.47706422,0.52293578,0.104707012,0.596330275,0.23853211,0.229357798,0.091743119,0.21875,0.203125,0.5,0.03125,0,0.0625
197984,291000,2910,Belmont Abbey College,Belmont,NC,2,1429,31943,0.4605,0.7011,40598,3793.253579,498.1690525,2861.293115,0.891472868,0.093023256,0,0.015503876,0,0.573643411,0.426356589,0.090272918,0.596899225,0.248062016,0.147286822,0.201550388,0.062015504,0.248062016,0.178294574,0.023255814,0.085271318,0
197993,291100,2911,Bennett College,Greensboro,NC,2,232,34755,0.2909,0.519,30933,7192.288793,3345,2503.987069,0.1,0.9,0,0,0,0.325,0.675,0.172413793,0.625,0.3,0.1,0.225,0.025,0.2,0.35,0.05,0,0
198066,291200,2912,Brevard College,Brevard,NC,2,815,43036,0.3899,0.6,36389,3919.600242,376.0555556,4315.289855,0.961904762,0.038095238,0,0,0,0.514285714,0.485714286,0.128834356,0.495238095,0.20952381,0.20952381,0.076190476,0.211538462,0.269230769,0.519230769,0,0,0
198136,291300,2913,Campbell University,Buies Creek,NC,2,3696,51131,0.5557,0.7604,44374,8187.984239,850.4602616,2016.050973,0.852941176,0.139705882,0.003676471,0.003676471,0,0.525735294,0.474264706,0.147186147,0.479779412,0.102941176,0.308823529,0.064338235,0.077490775,0.193726937,0.158671587,0.044280443,0.001845018,0.005535055
198215,291400,2914,Catawba College,Salisbury,NC,2,1312,44235,0.5552,0.7185,39077,5321.714077,558.0962801,2280.14515,0.792792793,0.099099099,0.018018018,0.09009009,0,0.432432432,0.567567568,0.084603659,0.684684685,0.297297297,0.27027027,0.108108108,0.145454545,0.209090909,0.309090909,0.018181818,0,0.009090909
198303,291600,2916,Chowan University,Murfreesboro,NC,2,1098,37161,0.3126,0.585,33923,4614.765455,112.3990909,3856.625455,0.895833333,0.104166667,0,0,0,0.520833333,0.479166667,0.043715847,1,0.583333333,0.291666667,0.125,0.291666667,0.375,0.291666667,0.041666667,0,0
198385,291800,2918,Davidson College,Davidson,NC,2,1979,70744,0.9303,0.9298,67365,12764.42612,2591.333333,9579.740292,0.709016393,0.200819672,0.012295082,0.020491803,0.057377049,0.512295082,0.487704918,0.123294593,0.909836066,0.491803279,0.172131148,0.233606557,0.367088608,0.172995781,0.358649789,0.004219409,0.021097046,0.012658228
198419,292000,2920,Duke University,Durham,NC,2,6650,77846,0.9552,0.9688,79843,41802.43631,10237.81845,7057.506802,0.736817654,0.250174216,0.008362369,0.004645761,0,0.572590012,0.427409988,0.877443609,0.946341463,0.235646958,0.049014567,0.413538989,0.321486643,0.215795587,0.292682927,0.081997677,0.03437863,0
198464,292300,2923,East Carolina University,Greenville,NC,1,21766,22301,0.6521,0.8346,45599,7239.046566,656.3729426,5986.856726,0.702373707,0.183810103,0.012172855,0.098600122,0.003043214,0.480219111,0.519780889,0.091748599,0.82592818,0.371557336,0.126189284,0.318477717,0.151269036,0.237055838,0.195431472,0.086294416,0,0.018781726
